transform,n,sigma,honest_mean,honest_std,attacker_mean,attacker_std,bkw_mean,bkw_std,lin_dim,time_mean,time_std,runs
cubic,16,1.0,0.84,0.017320508075688787,0.49500000000000005,0.0507444578254611,0.5416666666666666,0.036084391824351615,48.0,0.004998922348022433,0.00099778175354005,3
cubic,16,2.0,0.7983333333333333,0.040414518843273815,0.5266666666666667,0.027537852736430484,0.5833333333333334,0.036084391824351594,48.0,0.005002975463867133,0.001000047262923508,3
cubic,16,3.0,0.79,0.018027756377319955,0.515,0.06383572667401852,0.5625,0.0625,48.0,0.0046675205230712336,0.0005773167433250729,3
cubic,32,1.0,0.8516666666666666,0.01607275126832161,0.51,0.021794494717703387,0.5625,0.0625,96.0,0.005664587020873967,0.001155650268367733,3
cubic,32,2.0,0.8066666666666666,0.028431203515386607,0.5066666666666667,0.037527767497325726,0.5416666666666666,0.07216878364870323,96.0,0.006000518798828067,0.0009984970946708205,3
cubic,32,3.0,0.8016666666666667,0.022546248764114422,0.505,0.018027756377319962,0.6041666666666666,0.09547032697824667,96.0,0.005833784739176367,0.0010397103289858506,3
cubic,64,1.0,0.8316666666666667,0.007637626158259795,0.4816666666666667,0.051071844820148544,0.5416666666666666,0.036084391824351615,192.0,0.006000041961669866,0.0010011196988172176,3
cubic,64,2.0,0.805,0.026457513110645866,0.48666666666666664,0.016072751268321604,0.5625,0.0,192.0,0.006836493810017833,0.00028398048199480944,3
cubic,64,3.0,0.8083333333333332,0.04645786621588783,0.4666666666666666,0.028431203515386635,0.5833333333333334,0.07216878364870323,192.0,0.0058350563049316,0.0007668316918160917,3
eo_lwe,16,1.0,0.8283333333333333,0.03214550253664314,0.47333333333333333,0.01527525231651944,0.5625,0.0625,64.0,0.0053349335988362,0.0005762103718530986,3
eo_lwe,16,2.0,0.8150000000000001,0.02291287847477914,0.51,0.02179449471770342,0.5416666666666666,0.036084391824351615,64.0,0.005000352859497,9.536743164001785e-07,3
eo_lwe,16,3.0,0.8016666666666666,0.04536885862938729,0.48833333333333334,0.024664414311581218,0.6666666666666666,0.036084391824351615,64.0,0.004999796549479133,0.0009992128718222704,3
eo_lwe,32,1.0,0.8116666666666666,0.017559422921421243,0.47333333333333333,0.015275252316519456,0.625,0.10825317547305482,128.0,0.006334225336710567,0.0005765516507069884,3
eo_lwe,32,2.0,0.7883333333333334,0.02020725942163696,0.49833333333333335,0.0057735026918962675,0.5833333333333334,0.09547032697824667,128.0,0.005666176478068,0.0005786880768916194,3
eo_lwe,32,3.0,0.79,0.02598076211353313,0.4716666666666667,0.01607275126832157,0.5833333333333334,0.07216878364870322,128.0,0.006000598271687766,0.000998020409436548,3
eo_lwe,64,1.0,0.8850000000000001,0.025000000000000022,0.49666666666666676,0.03253203549323855,0.5833333333333334,0.09547032697824667,256.0,0.006333271662394166,0.0005782032655758334,3
eo_lwe,64,2.0,0.8483333333333333,0.02020725942163688,0.5033333333333333,0.02753785273643059,0.6041666666666666,0.1301041249666333,256.0,0.005667765935262033,0.0005738683856702137,3
eo_lwe,64,3.0,0.795,0.013228756555322964,0.49,0.0050000000000000044,0.6458333333333334,0.09547032697824667,256.0,0.0051679611206054,0.00029382485531577885,3
quadratic,16,1.0,0.8683333333333333,0.01258305739211796,0.5016666666666666,0.0340342964277703,0.6458333333333334,0.14433756729740646,152.0,0.004333813985188767,0.0005772399054937493,3
quadratic,16,2.0,0.7883333333333334,0.038837267325770156,0.5133333333333333,0.03175426480542941,0.5208333333333334,0.036084391824351594,152.0,0.0056680838267008,0.0005774473047977265,3
quadratic,16,3.0,0.8033333333333333,0.020207259421636883,0.5316666666666667,0.01607275126832161,0.5833333333333334,0.036084391824351615,152.0,0.0050017038981119335,0.0009990937408357243,3
quadratic,32,1.0,0.8466666666666667,0.025166114784235853,0.4883333333333333,0.06825198409814427,0.5833333333333334,0.036084391824351615,560.0,0.004998922348022399,2.4891630432230578e-06,3
quadratic,32,2.0,0.7833333333333333,0.011547005383792535,0.49833333333333335,0.023629078131263054,0.6458333333333334,0.036084391824351615,560.0,0.004667599995930934,0.0005773773595491004,3
quadratic,32,3.0,0.7999999999999999,0.021794494717703353,0.49333333333333335,0.049328828623162506,0.6666666666666666,0.18042195912175804,560.0,0.005169153213500934,0.001041966851131277,3
quadratic,64,1.0,0.8716666666666667,0.02081665999466133,0.5283333333333333,0.01755942292142127,0.625,0.10825317547305482,2144.0,0.006335894266764266,0.0005759327025527138,3
quadratic,64,2.0,0.7833333333333333,0.02753785273643051,0.4916666666666667,0.020207259421636887,0.5833333333333334,0.09547032697824667,2144.0,0.006334861119588166,0.0005776540392144114,3
quadratic,64,3.0,0.7916666666666666,0.03214550253664322,0.5016666666666666,0.01040832999733071,0.625,0.0,2144.0,0.006000677744547467,0.0009996909596336214,3
