n,Transform,Degree,Monomials,Linearization_dim,Grb_time_s
2,Quadratic,2,4,5,0.0012
2,Cubic,3,3,9,0.0008
2,EO-LWE,3,4,5,0.0016
4,Quadratic,2,8,14,0.0017
4,Cubic,3,5,34,0.001
4,EO-LWE,3,11,14,0.0029
8,Quadratic,2,16,44,0.0032
8,Cubic,3,9,164,0.0019
8,EO-LWE,3,37,44,0.009
16,Quadratic,2,32,152,0.0086
16,Cubic,3,17,968,0.0054
16,EO-LWE,3,137,152,0.0576
64,Quadratic,2,128,2144,0.1872
64,Cubic,3,65,47904,0.1427
64,EO-LWE,3,2081,2144,8.6718
128,Quadratic,2,256,8384,1.4677
128,Cubic,3,129,366144,1.1472
128,EO-LWE,3,8257,8384,132.4423
